Number,TA_1_ID,TA_2_ID,TA 1 - Q1 Grade,TA 1 - Q2 Grade,TA 1 - Q3 Grade,TA 1 - Total Grade,TA 2 - Q1 Grade,TA 2 - Q2 Grade,TA 2 - Q3 Grade,TA 2 - Total Grade,Average Grade
711,TA_31,TA_32,12.0,7.5,0.5,20.0,13.0,12.0,0.0,25.0,22.5
712,TA_31,TA_32,9.0,1.0,5.0,15.0,12.0,2.0,10.0,24.0,19.5
713,TA_31,TA_32,5.5,6.0,3.0,14.5,8.0,8.0,6.0,22.0,18.25
714,TA_31,TA_32,13.0,7.5,12.0,32.5,13.0,10.0,15.0,38.0,35.25
715,TA_31,TA_33,3.0,4.0,5.0,12.0,2.0,6.0,5.0,13.0,12.5
716,TA_31,TA_32,8.0,1.0,7.5,16.5,13.5,1.5,13.5,28.5,22.5
717,TA_31,TA_32,11.0,8.0,13.0,32.0,12.0,13.0,16.5,41.5,36.75
718,TA_31,TA_32,13.0,8.5,10.0,31.5,15.0,10.5,14.0,39.5,35.5
719,TA_31,TA_33,16.5,9.0,12.0,37.5,17.5,16.0,11.0,44.5,41.0
720,TA_31,TA_32,8.0,10.0,11.5,29.5,12.0,13.0,13.0,38.0,33.75
721,TA_31,TA_32,5.0,5.0,5.0,15.0,8.0,7.5,5.5,21.0,18.0
722,TA_31,TA_32,8.5,0.0,4.0,12.5,10.5,0.0,6.0,16.5,14.5
723,TA_31,TA_32,9.5,13.0,8.0,30.5,10.0,13.5,12.0,35.5,33.0
724,TA_31,TA_32,6.0,2.0,5.0,13.0,9.0,1.5,9.0,19.5,16.25
725,TA_31,TA_32,10.0,0.0,6.5,16.5,11.5,0.0,11.0,22.5,19.5
726,TA_31,TA_32,12.0,9.0,9.5,30.5,12.0,11.0,12.5,35.5,33.0
727,TA_31,TA_32,11.0,11.5,7.5,30.0,15.0,13.5,11.0,39.5,34.75
728,TA_31,TA_32,5.0,7.5,2.0,14.5,7.0,10.5,4.5,22.0,18.25
729,TA_31,TA_32,6.0,10.0,10.0,26.0,8.0,13.0,13.0,34.0,30.0
730,TA_31,TA_32,20.0,10.0,11.0,41.0,20.0,12.0,13.5,45.5,43.25
731,TA_31,TA_32,19.0,11.5,13.0,43.5,17.0,15.0,15.0,47.0,45.25
732,TA_31,TA_32,8.0,5.0,3.0,16.0,9.5,7.5,5.0,22.0,19.0
733,TA_31,TA_32,15.5,14.0,11.0,40.5,14.5,14.0,15.0,43.5,42.0
734,TA_31,TA_32,13.0,10.0,8.5,31.5,15.0,15.0,11.5,41.5,36.5
735,TA_31,TA_32,18.0,12.0,15.0,45.0,17.5,14.0,17.0,48.5,46.75
736,TA_31,TA_32,5.0,10.0,7.0,22.0,8.0,12.5,8.0,28.5,25.25
737,TA_31,TA_32,3.5,3.0,1.5,8.0,1.5,7.5,3.0,12.0,10.0
738,TA_31,TA_32,19.0,10.0,15.0,44.0,19.5,11.5,14.0,45.0,44.5
739,TA_31,TA_32,4.0,5.0,4.5,13.5,6.5,10.5,5.5,22.5,18.0
740,TA_31,TA_32,4.0,8.0,5.0,17.0,5.5,12.0,9.0,26.5,21.75
741,TA_34,TA_35,0.0,0.0,8.5,8.5,0.0,0.0,10.0,10.0,9.25
742,TA_34,TA_35,17.0,13.0,18.0,48.0,7.0,8.5,13.5,29.0,38.5
743,TA_34,TA_35,26.0,16.0,14.5,56.5,21.0,14.0,3.0,38.0,47.25
744,TA_34,TA_33,4.0,3.0,4.0,11.0,6.0,5.0,5.0,16.0,13.5
745,TA_34,TA_35,10.0,10.0,12.0,32.0,9.75,11.5,10.0,31.25,31.625
746,TA_34,TA_35,10.5,7.5,6.5,24.5,12.0,10.0,15.0,37.0,30.75
747,TA_34,TA_35,16.5,9.5,11.5,37.5,17.0,11.5,9.5,38.0,37.75
748,TA_34,TA_35,22.5,9.5,13.5,45.5,15.5,13.5,11.5,40.5,43.0
749,TA_34,TA_35,12.5,7.5,9.5,29.5,5.0,9.5,3.5,18.0,23.75
750,TA_34,TA_35,28.0,16.0,20.0,64.0,15.0,12.5,13.5,41.0,52.5
751,TA_34,TA_35,14.5,7.5,13.5,35.5,20.0,14.0,18.0,52.0,43.75
752,TA_34,TA_35,21.0,16.0,14.5,51.5,15.0,14.0,7.0,36.0,43.75
753,TA_34,TA_35,27.0,16.0,22.0,65.0,20.0,13.0,18.0,51.0,58.0
754,TA_34,TA_35,14.0,0.0,10.0,24.0,7.0,0.0,11.0,18.0,21.0
755,TA_34,TA_35,20.0,8.0,10.0,38.0,19.0,13.0,8.0,40.0,39.0
756,TA_34,TA_35,20.0,5.5,11.5,37.0,14.0,9.0,13.0,36.0,36.5
757,TA_34,TA_33,12.5,6.0,9.5,28.0,12.0,12.0,9.5,33.5,30.75
758,TA_34,TA_35,15.0,7.5,12.5,35.0,5.5,3.5,8.5,17.5,26.25
759,TA_34,TA_35,28.0,15.0,20.0,63.0,17.5,12.5,7.0,37.0,50.0
760,TA_34,TA_35,13.5,16.0,6.5,36.0,12.0,14.0,4.5,30.5,33.25
761,TA_34,TA_33,16.0,3.0,5.0,24.0,13.0,9.0,14.0,36.0,30.0
762,TA_34,TA_35,7.5,10.0,13.5,31.0,6.0,8.0,15.0,29.0,30.0
763,TA_34,TA_35,12.5,6.5,9.5,28.5,3.5,0.0,3.0,6.5,17.5
764,TA_34,TA_35,8.5,6.5,4.0,19.0,16.0,8.0,3.5,27.5,23.25
765,TA_34,TA_35,25.0,8.0,13.0,46.0,21.0,10.0,10.0,41.0,43.5
766,TA_34,TA_35,11.0,5.5,6.5,23.0,5.5,11.0,3.5,20.0,21.5
767,TA_34,TA_35,24.0,10.0,17.0,51.0,20.0,16.0,19.0,55.0,53.0
768,TA_34,TA_35,12.0,12.5,10.0,34.5,5.0,8.0,7.5,20.5,27.5
769,TA_34,TA_33,17.5,9.0,19.0,45.5,10.0,13.0,17.0,40.0,42.75
770,TA_34,TA_35,21.5,12.5,16.5,50.5,18.0,14.0,17.0,49.0,49.75
771,TA_34,TA_35,15.0,13.0,11.5,39.5,15.0,16.0,20.0,51.0,45.25
772,TA_34,TA_35,17.0,8.0,15.0,40.0,10.5,11.0,12.0,33.5,36.75
773,TA_34,TA_35,11.5,7.0,9.5,28.0,13.0,12.0,10.0,35.0,31.5
774,TA_34,TA_35,17.0,13.0,17.0,47.0,18.0,15.0,20.0,53.0,50.0
775,TA_34,TA_35,21.0,13.0,20.0,54.0,8.0,12.0,14.0,34.0,44.0
776,TA_34,TA_35,15.0,9.0,14.0,38.0,4.0,5.5,5.5,15.0,26.5
