run_id,source,model,use_solution,use_guidelines,use_reasoning,use_breakdown,strictness,temperature,runs,few_shot,students,n_graded,n_valid_vs_TA,mean_total_score,std_total_score,MAE_vs_TA_avg,MAE_CI95_lo,MAE_CI95_hi,bias_vs_TA_avg,zero_rate,AI_TA_pearson_r,x_floor,behaviour,n_failed,Q1_MAE_vs_TA,Q2_MAE_vs_TA,Q3_MAE_vs_TA,Q1_mean,Q2_mean,Q3_mean
IA12,local,deepseek-coder-v2-lite,1,0,0,0,strict,0.0,1,0,all,1038,1038,24.3945,7.9334,9.1198,8.695,9.5421,-5.1887,0.001,0.7253,1.777,graded,0,4.2358,4.0343,3.7829,10.6267,5.7235,8.0443
IA79,local,qwen3-coder-30b-a3b,1,0,0,0,neutral,0.0,1,0,all,1038,1038,37.3849,9.7201,9.1305,8.7283,9.5372,7.8017,0.0029,0.8401,1.779,graded,0,4.462,2.4289,3.5917,15.7799,10.4326,11.1724
IA14,local,deepseek-coder-v2-lite,1,0,0,1,strict,0.0,1,0,all,1038,1038,32.0029,5.7345,9.2184,8.827,9.6189,2.4197,0.0,0.7217,1.796,graded,0,4.1648,2.6269,4.6314,12.7524,8.3189,10.9316
IA70,local,qwen25-coder-32b,1,0,0,1,mpnoclause,0.0,1,0,all,1038,1038,20.4928,9.4552,9.4526,9.0539,9.8534,-9.0904,0.0116,0.9063,1.842,graded,0,3.2876,3.8107,3.6535,10.2177,5.1185,5.1566
IA108,local,llama33-70b,1,0,0,1,mpstrict,0.0,1,0,all,1038,1038,20.5323,13.1028,9.5554,9.1638,9.9551,-9.0509,0.0867,0.8681,1.862,graded,0,3.2809,3.4269,4.1255,10.0072,5.736,4.789
IA67,local,qwen25-coder-32b,1,0,0,1,mpstrict,0.0,1,0,all,1038,1038,20.2852,11.114,9.6494,9.2618,10.0428,-9.298,0.0549,0.8842,1.88,graded,0,3.2056,3.9725,3.8284,10.3189,4.9509,5.0154
IA105,local,glm45-air,1,0,0,1,exacting,0.0,1,0,all,1022,1022,20.5841,13.6642,9.9535,9.5494,10.3643,-9.151,0.093,0.8511,1.94,graded,16,3.785,3.8448,3.619,9.4623,5.3865,5.7353
IA128,local,qwen3-coder-480b,1,0,0,1,neutral,0.0,1,0,all,1038,1038,39.1062,11.0648,10.0977,9.657,10.5449,9.523,0.0019,0.834,1.968,graded,0,4.694,2.0172,4.5858,16.1975,10.2697,12.639
IA114,local,llama33-70b,1,0,0,1,strict,0.0,1,0,all,1038,1038,19.9485,13.2229,10.1707,9.7659,10.5818,-9.6347,0.0896,0.8584,1.982,graded,0,3.3567,3.6756,4.3459,9.8868,5.4798,4.5819
IA68,local,qwen25-coder-32b,1,0,0,1,mprigorous,0.0,1,0,all,1038,1038,19.7177,11.2546,10.19,9.7959,10.5899,-9.8655,0.0684,0.8786,1.986,graded,0,3.2649,4.1864,4.0753,10.2187,4.737,4.762
IA18,local,gemma3-12b,1,0,0,1,neutral,0.0,1,0,all,1038,1038,38.71,10.2029,10.3605,9.9607,10.7643,9.1268,0.001,0.8306,2.019,graded,0,5.1103,2.5295,3.9669,16.5005,10.6175,11.592
IA69,local,qwen25-coder-32b,1,0,0,1,mpfair,0.0,1,0,all,1038,1038,19.4923,11.1848,10.3982,9.9972,10.8064,-10.0909,0.0674,0.8741,2.026,graded,0,3.2519,4.2991,4.208,10.2442,4.6195,4.6286
IA118,local,qwen25-72b,1,0,0,1,neutral,0.0,1,0,all,1038,1038,39.8902,11.8576,10.6402,10.2499,11.0332,10.307,0.0096,0.8776,2.073,graded,0,6.0539,1.8101,3.7876,17.9066,9.9538,12.0299
IA02-Q14-s,local,qwen25-coder-14b,1,0,0,1,strict,0.0,1,0,all,1038,1038,19.1195,14.1718,11.0569,10.6145,11.5045,-10.4637,0.1657,0.8374,2.155,graded,0,3.583,4.703,4.8089,10.2813,4.5385,4.2996
IA96,local,qwen3-coder-30b-a3b,1,0,1,1,neutral,0.0,1,0,all,1017,1017,39.9194,9.0922,11.0901,10.6145,11.5743,10.3961,0.001,0.8201,2.161,graded,21,4.9266,2.6041,4.5502,16.502,10.9125,12.5049
IA01-Q30-n,local,qwen3-coder-30b-a3b,1,0,0,1,neutral,0.0,1,0,all,1038,1038,40.0188,9.0238,11.116,10.6444,11.5919,10.4356,0.001,0.8209,2.166,graded,0,4.9416,2.5998,4.5422,16.5323,10.9528,12.5337
IA46,local,llama31-8b,1,0,0,1,mpframe,0.0,1,0,all,1038,1038,37.3666,5.8948,11.5449,11.0666,12.023,7.7834,0.001,0.6356,2.25,graded,0,5.4194,2.7086,5.3781,16.0207,8.9393,12.4066
IA115,local,llama33-70b,1,0,0,1,lenient,0.0,1,0,all,1038,1038,41.1291,12.4842,11.7402,11.3355,12.1467,11.5459,0.0106,0.8748,2.288,graded,0,6.4307,1.9743,3.9485,18.2856,10.4451,12.3984
IA44,local,glm4-9b,1,0,0,1,rigorous,0.0,1,0,all,1038,1038,40.0732,9.1538,11.7976,11.2853,12.3106,10.49,0.0039,0.7247,2.299,graded,0,4.0812,4.2938,4.9234,14.6609,12.9403,12.4721
IA95,local,qwen3-coder-30b-a3b,0,0,0,1,neutral,0.0,1,0,all,1013,1013,40.882,9.8435,11.9564,11.5039,12.4047,11.5283,0.002,0.8496,2.33,graded,25,5.3345,3.1504,4.1718,16.9758,11.6456,12.2606
IA52,local,llama31-8b,1,0,0,1,exacting,0.0,1,0,all,1038,1038,38.7341,6.5087,11.961,11.4453,12.479,9.1509,0.001,0.6318,2.331,graded,0,5.5069,2.7716,5.5584,16.5029,9.3719,12.8593
IA02-G32-s,local,glm4-32b,1,0,0,1,strict,0.0,1,0,all,1038,1038,18.9066,18.3916,12.1849,11.6843,12.6884,-10.6767,0.1407,0.8377,2.374,graded,0,6.6327,3.4579,3.6097,6.9682,5.7794,6.159
IG02,gemini,flash-lite,0,0,0,1,neutral,0.0,1,0,all,1032,1032,41.7449,10.2896,12.4599,12.0307,12.8936,12.163,0.0,0.8633,2.428,graded,6,5.6009,3.1995,4.3049,17.3813,11.8517,12.5119
IA53,local,mistral-small-24b,1,0,0,1,mpstrict,0.0,1,0,all,1038,1038,17.4456,12.8227,12.4906,12.0313,12.9552,-12.1376,0.1667,0.8265,2.434,graded,0,3.9719,5.4901,4.6444,9.4523,3.4692,4.5241
IA01-G9-n,local,glm4-9b,1,0,0,1,neutral,0.0,1,0,all,1038,1038,41.6782,8.2704,13.1491,12.5955,13.7102,12.095,0.0019,0.6966,2.562,graded,0,4.5862,3.8313,5.8831,15.5867,12.473,13.6185
IA01-L8-n,local,llama31-8b,1,0,0,1,neutral,0.0,1,0,all,1037,1037,39.8438,5.4861,13.1553,12.6122,13.711,10.2689,0.001,0.5598,2.564,graded,1,5.7311,2.9745,5.9783,16.73,9.9875,13.1263
IA02-Q32-s,local,qwen25-coder-32b,1,0,0,1,strict,0.0,1,0,all,1038,1038,16.513,10.9114,13.2397,12.7945,13.6926,-13.0702,0.105,0.8509,2.58,graded,0,4.0154,5.0034,5.1165,8.9547,3.8863,3.672
IA76,local,qwen25-coder-32b,1,0,0,1,mpharsh,0.0,1,0,all,1038,1038,16.5111,10.9138,13.2435,12.7959,13.6981,-13.0721,0.106,0.8488,2.581,graded,0,4.0332,5.0043,5.101,8.9412,3.8854,3.6845
IA65,local,qwen25-coder-32b,1,0,0,0,strict,0.0,1,0,all,1038,1038,16.3329,12.2958,13.4324,12.9726,13.8931,-13.2504,0.1541,0.8368,2.618,graded,0,4.3584,4.934,4.919,8.4595,3.9711,3.9022
IA20,local,gemma3-12b,1,0,0,1,lenient,0.0,1,0,all,1038,1038,42.7563,10.2077,13.6983,13.2231,14.1762,13.1731,0.0,0.8039,2.669,graded,0,6.0515,3.8124,4.7411,17.6175,12.3526,12.7861
IA107,local,llama33-70b,1,0,0,0,strict,0.0,1,0,all,1013,1013,15.8124,14.4981,14.1341,13.6228,14.6446,-13.6411,0.1964,0.8024,2.754,graded,25,4.7137,4.9141,5.2407,7.9092,4.2192,3.6841
IA16,local,deepseek-coder-v2-lite,1,0,0,1,rigorous,0.0,1,0,all,1038,1038,41.8776,5.7328,14.2279,13.6372,14.8253,12.2944,0.0,0.5633,2.773,graded,0,5.7452,3.4898,6.0954,16.7938,11.3006,13.7832
IA45,local,glm4-9b,1,0,0,1,exacting,0.0,1,0,all,1038,1038,43.631,9.9669,14.7143,14.1097,15.3272,14.0478,0.0058,0.6501,2.867,graded,0,4.5358,4.5348,6.938,15.4663,13.0896,15.0751
IA103,local,glm45-air,1,0,0,1,lenient,0.0,1,0,all,1038,1038,44.7519,11.3717,15.3039,14.7446,15.8705,15.1687,0.0029,0.7525,2.982,graded,0,6.2537,3.0459,6.7046,18.1161,11.394,15.2418
IA40,local,glm4-32b,1,0,0,1,lenient,0.0,1,0,all,1038,1038,44.8112,12.659,15.3507,14.9011,15.7991,15.228,0.0135,0.8506,2.991,graded,0,7.3699,2.7429,5.7217,19.2938,11.185,14.3324
IA130,local,qwen3-coder-480b,1,0,0,1,lenient,0.0,1,0,all,1038,1038,44.8738,10.4052,15.3729,14.8729,15.8779,15.2906,0.001,0.815,2.996,graded,0,6.9105,2.9757,5.9548,18.8138,11.6561,14.4039
IA17,local,deepseek-coder-v2-lite,1,0,0,1,exacting,0.0,1,0,all,1038,1038,43.4846,5.7757,15.4962,14.8688,16.1279,13.9014,0.0,0.5208,3.02,graded,0,6.1064,3.8015,6.5233,17.2881,11.7909,14.4056
IA61,local,mistral-small-24b,1,0,0,1,lenient,0.0,1,0,all,1038,1038,45.0197,10.2951,15.5622,15.0773,16.0486,15.4365,0.0019,0.8269,3.033,graded,0,7.3916,3.2159,5.4467,19.317,11.7119,13.9908
IA15,local,deepseek-coder-v2-lite,1,0,0,1,lenient,0.0,1,0,all,1038,1038,44.5458,5.6865,16.2922,15.6413,16.9463,14.9626,0.0,0.5014,3.175,collapse,0,6.5909,3.7901,6.8527,17.8945,11.7476,14.9037
IA13,local,deepseek-coder-v2-lite,1,0,0,1,neutral,0.0,1,0,all,1038,1038,44.4687,5.4709,16.4134,15.7568,17.0744,14.8855,0.0,0.4539,3.198,collapse,0,6.6289,3.7644,6.9418,17.8454,11.6802,14.9432
IA11,local,deepseek-coder-v2-lite,1,0,0,0,neutral,0.0,1,0,all,1038,1038,44.5434,5.5277,16.4815,15.8191,17.1473,14.9601,0.0,0.4373,3.212,collapse,0,6.7412,3.6626,7.0766,17.9769,11.5077,15.0588
IA02-G9-s,local,glm4-9b,1,0,0,1,strict,0.0,1,0,all,1038,1038,13.0636,12.9601,16.6765,16.1545,17.2006,-16.5196,0.3574,0.7954,3.25,collapse,0,8.4255,3.979,5.4599,3.7023,5.8911,3.4701
IA120,local,qwen25-72b,1,0,0,1,lenient,0.0,1,0,all,1038,1038,46.4692,9.6181,16.9314,16.441,17.422,16.886,0.001,0.8411,3.299,collapse,0,7.8949,2.942,6.3879,19.8776,11.5853,15.0063
IA80,local,qwen3-coder-30b-a3b,1,0,0,1,lenient,0.0,1,0,all,1038,1038,46.6055,7.6661,17.1553,16.5751,17.7403,17.0223,0.0,0.7702,3.343,collapse,0,7.2543,3.8763,6.4513,19.1556,12.4846,14.9653
IA60,local,mistral-small-24b,1,0,0,1,mpharsh,0.0,1,0,all,1037,1037,12.4147,11.7354,17.2858,16.7315,17.837,-17.1667,0.3192,0.7675,3.368,collapse,1,5.5227,6.6762,5.7896,7.1514,2.2228,3.0405
IA02-M24-s,local,mistral-small-24b,1,0,0,1,strict,0.0,1,0,all,1038,1038,12.3849,11.739,17.3173,16.7715,17.8724,-17.1983,0.3218,0.7671,3.375,collapse,0,5.5359,6.6907,5.7927,7.1392,2.211,3.0347
IA125,local,qwen3-235b-a22b,1,0,0,1,lenient,0.0,1,0,all,1038,1038,46.9918,13.6734,17.458,16.9906,17.9336,17.4086,0.0087,0.846,3.402,collapse,0,9.4326,3.462,4.7308,21.4403,12.2283,13.3232
IG06,gemini,flash-lite,1,0,0,1,lenient,0.0,1,0,all,1020,1020,47.2348,10.3559,17.8575,17.3049,18.4191,17.8048,0.0,0.7753,3.48,collapse,18,7.8861,4.6159,5.6536,19.8238,13.3164,14.0946
IA34,local,glm4-32b,1,0,0,0,strict,0.0,1,0,all,1038,1038,11.9557,15.8456,18.4443,17.8565,19.0302,-17.6275,0.2592,0.7377,3.594,collapse,0,10.2848,3.5625,5.5452,2.3719,5.7052,3.8786
IA102,local,glm45-air,1,0,0,1,strict,0.0,1,0,all,1038,1038,11.2688,12.7211,18.4883,17.9594,19.0185,-18.3144,0.3776,0.7856,3.603,collapse,0,6.5692,5.4612,6.7407,5.7095,3.4904,2.0689
IA30,local,gemma3-27b,1,0,0,1,lenient,0.0,1,0,all,1038,1038,48.052,9.3772,18.5371,18.0178,19.0584,18.4688,0.0,0.8124,3.612,collapse,0,8.193,2.9503,7.8985,20.1609,11.3483,16.5429
IA48,local,llama31-8b,1,0,0,1,mpnoclause,0.0,1,0,all,1038,1038,3.7404,3.3323,25.8679,25.0787,26.6454,-25.8428,0.3468,0.5319,5.041,collapse,0,11.6481,7.7028,6.6741,0.3878,1.1445,2.2081
IA43,local,glm4-9b,1,0,0,1,lenient,0.0,1,0,all,1038,1038,55.5414,7.322,25.9767,25.2233,26.7442,25.9582,0.0,0.4915,5.062,collapse,0,9.3842,6.9725,9.7392,21.3459,15.8141,18.3815
IA59,local,mistral-small-24b,1,0,0,1,mps2only,0.0,1,0,all,1038,1038,3.5665,7.3418,26.0283,25.2889,26.7673,-26.0167,0.7553,0.5248,5.072,collapse,0,9.1604,8.54,8.4346,2.9692,0.316,0.2813
IA50,local,llama31-8b,1,0,0,1,lenient,0.0,1,0,all,1037,1037,57.2806,6.8086,27.7273,26.9239,28.54,27.6912,0.0,0.3824,5.403,collapse,1,11.8791,4.5136,11.8708,23.9007,12.81,20.5699
IA47,local,llama31-8b,1,0,0,1,mps2only,0.0,1,0,all,1038,1038,0.2177,1.6971,29.3905,28.5222,30.2457,-29.3655,0.9807,0.1376,5.727,near-refusal (98% zeroed),0,11.9405,8.7649,8.7005,0.1214,0.0925,0.0039
IA02-L8-s,local,llama31-8b,1,0,0,1,strict,0.0,1,0,all,1038,1038,0.0,0.0,29.5837,28.7043,30.4474,-29.5832,1.0,nan,5.765,refusal (100% zeroed),0,12.0359,8.8444,8.7044,0.0,0.0,0.0
IA49,local,llama31-8b,1,0,0,1,mpharsh,0.0,1,0,all,1038,1038,0.0,0.0,29.5837,28.7043,30.4474,-29.5832,1.0,nan,5.765,refusal (100% zeroed),0,12.0359,8.8444,8.7044,0.0,0.0,0.0
