run_id,source,model,use_solution,use_guidelines,use_reasoning,use_breakdown,strictness,temperature,runs,few_shot,students,n_graded,n_valid_vs_TA,mean_total_score,std_total_score,MAE_vs_TA_avg,MAE_CI95_lo,MAE_CI95_hi,bias_vs_TA_avg,zero_rate,AI_TA_pearson_r,x_floor,behaviour,n_failed,Q1_MAE_vs_TA,Q2_MAE_vs_TA,Q3_MAE_vs_TA,Q1_mean,Q2_mean,Q3_mean
IA116,local,llama33-70b,1,0,0,1,rigorous,0.0,1,0,all,1038,1038,31.2972,13.1392,4.5994,4.3621,4.8488,1.714,0.0231,0.9137,0.896,graded,0,3.4054,1.5987,1.9172,14.4239,8.3565,8.5169
IA92,local,qwen25-coder-32b,1,0,0,1,neutral,0.5,5,0,1-50,41,41,15.1829,14.0101,4.6457,2.7762,7.3683,4.5067,0.122,0.8314,0.905,graded,0,3.6963,1.1817,1.1201,8.5415,3.2512,3.3902
IA71,local,qwen25-coder-32b,1,0,0,1,mpnharsh,0.0,1,0,all,1038,1038,28.9388,11.6035,4.6729,4.4222,4.9341,-0.6444,0.0154,0.9065,0.911,graded,0,3.2111,2.0834,1.9934,13.8406,7.1628,7.9355
IA113,local,llama33-70b,1,0,0,1,neutral,0.0,1,0,all,1038,1038,31.4807,13.0516,4.6987,4.4523,4.9569,1.8975,0.0241,0.9105,0.916,graded,0,3.6104,1.6914,1.9547,14.7293,8.1098,8.6416
IA72,local,qwen25-coder-32b,1,0,0,1,rigorous,0.0,1,0,all,1038,1038,28.1161,11.6054,4.728,4.4701,4.9955,-1.4671,0.0154,0.9073,0.921,graded,0,3.1529,2.129,2.1001,13.6233,7.0626,7.4302
IA91,local,qwen25-coder-32b,0,0,0,1,neutral,0.0,1,0,all,1033,1033,30.7377,12.2442,4.732,4.4884,4.9835,1.1974,0.0126,0.9073,0.922,graded,5,3.307,1.5625,1.9096,14.1626,8.0774,8.4976
IA74,local,qwen25-coder-32b,1,0,0,1,mpframe,0.0,1,0,all,1038,1038,27.8781,11.554,4.7819,4.5204,5.0544,-1.7051,0.0164,0.9066,0.932,graded,0,3.0577,2.3034,2.0618,13.4181,6.8565,7.6036
IA136,local,qwen3-coder-next,1,0,0,1,neutral,0.5,5,0,1-50,41,41,15.7122,13.9855,5.0384,3.2616,7.764,5.036,0.122,0.8364,0.982,graded,0,3.4878,1.2146,1.4262,8.3963,3.3159,4.0
IO12,openai,gpt-5.4,1,0,0,1,strict,0.0,1,0,all,1038,1038,25.97,12.1605,5.1096,4.8538,5.3697,-3.6132,0.0067,0.9261,0.996,graded,0,2.6366,1.8184,2.0376,10.6787,7.5566,7.7347
IA124,local,qwen3-235b-a22b,1,0,0,1,strict,0.0,1,0,all,1038,1038,26.1912,13.0309,5.1789,4.8949,5.4725,-3.392,0.0173,0.9042,1.009,graded,0,2.5449,2.1798,2.2033,11.6835,7.2592,7.2486
IA117,local,llama33-70b,1,0,0,1,exacting,0.0,1,0,all,1038,1038,26.2731,13.3202,5.2283,4.9525,5.5149,-3.3101,0.0434,0.9049,1.019,graded,0,2.8301,2.3332,2.5806,12.4976,6.9836,6.7919
IG03,gemini,flash-lite,1,0,1,1,neutral,0.0,1,0,all,1037,1037,25.5285,14.1141,5.3718,5.0897,5.6617,-4.0405,0.0068,0.9153,1.047,graded,1,2.4274,2.1792,2.0235,10.8158,7.2475,7.4652
IA123,local,qwen3-235b-a22b,1,0,0,1,neutral,0.0,1,0,all,1037,1037,33.3394,13.8236,5.3961,5.1308,5.6719,3.7318,0.0183,0.9124,1.052,graded,1,3.7844,1.4204,2.0238,15.0935,8.9634,9.2825
IA119,local,qwen25-72b,1,0,0,1,strict,0.0,1,0,all,1038,1038,27.9104,11.2887,5.416,5.1453,5.6962,-1.6728,0.0231,0.8851,1.055,graded,0,3.1017,2.587,2.5583,13.1566,6.6686,8.0853
IA73,local,qwen25-coder-32b,1,0,0,1,exacting,0.0,1,0,all,1038,1038,25.8531,11.227,5.426,5.1351,5.7254,-3.7301,0.0173,0.91,1.057,graded,0,2.8644,2.8289,2.2109,12.4889,6.2245,7.1397
IG21,gemini,flash-lite,1,0,0,1,rigorous,0.0,1,0,all,1012,1012,32.397,11.798,5.5173,5.2517,5.7922,2.7889,0.002,0.8976,1.075,graded,26,4.0128,1.9512,2.3101,15.2787,8.5897,8.5287
IA42,local,glm4-32b,1,0,0,1,exacting,0.0,1,0,all,1038,1038,32.5578,15.6726,5.5668,5.2772,5.862,2.9746,0.0636,0.9031,1.085,graded,0,4.1263,2.4136,2.6123,15.2399,7.3854,9.9326
IA02-Q30-s,local,qwen3-coder-30b-a3b,1,0,0,1,strict,0.0,1,0,all,1038,1038,28.0299,10.4114,5.5836,5.3103,5.8651,-1.5533,0.0222,0.8882,1.088,graded,0,3.1535,1.8661,2.4833,12.5299,7.684,7.816
IA38,local,glm4-32b,1,0,0,1,mpnoclause,0.0,1,0,all,1038,1038,26.1864,15.099,5.5988,5.2885,5.9206,-3.3968,0.027,0.8941,1.091,graded,0,3.3381,2.4601,2.1467,10.8377,6.9239,8.4249
IA101,local,glm45-air,1,0,0,1,neutral,0.0,1,0,all,1037,1037,28.2575,13.5508,5.599,5.312,5.8944,-1.3393,0.0116,0.8681,1.091,graded,1,3.0055,3.0489,2.4148,12.7633,7.3631,8.1311
IA63,local,mistral-small-24b,1,0,0,1,exacting,0.0,1,0,all,1038,1038,31.9904,12.6407,5.7015,5.4264,5.9841,2.4072,0.0202,0.8773,1.111,graded,0,3.4868,2.0786,2.8276,14.4489,8.1156,9.4258
IA201,local,qwen3-coder-30b-a3b,1,0,0,1,neutral,0.0,1,2,all,1038,1038,34.1397,12.7878,5.8402,5.5586,6.1306,4.5565,0.0173,0.9104,1.138,graded,0,3.6994,1.4166,2.3734,15.0212,8.9085,10.21
IA62,local,mistral-small-24b,1,0,0,1,rigorous,0.0,1,0,all,1038,1038,32.5414,11.9737,5.8945,5.6082,6.1856,2.9582,0.0164,0.8766,1.149,graded,0,3.5653,1.7846,2.9085,14.5959,8.3603,9.5853
IA27,local,gemma3-27b,1,0,0,1,mpfair,0.0,1,0,all,1038,1038,26.2336,10.0835,5.9315,5.6198,6.2517,-3.3496,0.0077,0.8881,1.156,graded,0,3.0907,2.5467,2.68,12.6445,6.843,6.7461
IA32,local,gemma3-27b,1,0,0,1,exacting,0.0,1,0,all,1038,1038,31.4128,10.6991,5.9547,5.69,6.227,1.8296,0.0067,0.8773,1.16,graded,0,3.6439,1.9797,2.7434,14.3882,7.8117,9.2129
IG22,gemini,flash-lite,1,0,0,1,exacting,0.0,1,0,all,1021,1021,32.713,11.7874,5.9606,5.6788,6.2485,3.1754,0.0029,0.8835,1.162,graded,17,3.8376,2.0229,2.6246,14.9691,8.3443,9.3996
IA129,local,qwen3-coder-480b,1,0,0,1,strict,0.0,1,0,all,1038,1038,32.8353,11.7758,6.0398,5.7474,6.339,3.2521,0.0096,0.8739,1.177,graded,0,3.5788,1.734,2.758,14.1411,8.8613,9.8329
IA111,local,llama33-70b,1,0,0,1,mpnoclause,0.0,1,0,all,1038,1038,24.7168,12.0182,6.1191,5.8162,6.4293,-4.8664,0.0279,0.903,1.192,graded,0,2.6676,2.4653,2.8128,11.591,6.7601,6.3656
IA31,local,gemma3-27b,1,0,0,1,rigorous,0.0,1,0,all,1038,1038,32.7587,10.9848,6.181,5.9134,6.4557,3.1755,0.0067,0.8857,1.204,graded,0,3.9759,1.8441,2.6357,15.1344,8.1382,9.486
IA104,local,glm45-air,1,0,0,1,rigorous,0.0,1,0,all,1037,1037,25.6205,13.832,6.2591,5.9486,6.5753,-3.9664,0.026,0.8761,1.22,graded,1,2.9828,2.9911,2.5717,11.5776,6.878,7.1649
IO03,openai,gpt-5.5,1,0,0,1,lenient,0.0,1,0,all,1038,1038,35.4127,13.9187,6.2911,6.0215,6.5683,5.8295,0.0029,0.9368,1.226,graded,0,3.7776,1.2102,2.0826,15.4571,9.6216,10.3339
IA26,local,gemma3-27b,1,0,0,1,mprigorous,0.0,1,0,all,1038,1038,25.5337,9.6556,6.3059,5.978,6.6386,-4.0495,0.0067,0.8904,1.229,graded,0,3.077,2.8069,2.7119,12.3247,6.4928,6.7163
IA56,local,mistral-small-24b,1,0,0,1,mpnoclause,0.0,1,0,all,1038,1038,28.9114,10.0774,6.3706,6.0759,6.671,-0.6718,0.0135,0.8449,1.241,graded,0,3.1499,2.1306,3.2305,12.54,7.6224,8.749
IA28,local,gemma3-27b,1,0,0,1,mpnoclause,0.0,1,0,all,1038,1038,27.2303,8.6441,6.4756,6.1599,6.7942,-2.353,0.0,0.878,1.262,graded,0,3.41,2.6791,2.7492,12.6893,6.8839,7.657
IA58,local,mistral-small-24b,1,0,0,1,mpframe,0.0,1,0,all,1038,1038,33.685,11.4748,6.5788,6.2676,6.8957,4.1018,0.0125,0.8658,1.282,graded,0,3.7255,1.8266,3.1014,14.7856,8.7765,10.1228
IA75,local,qwen25-coder-32b,1,0,0,1,mps2only,0.0,1,0,all,1038,1038,23.9123,11.4554,6.6842,6.3547,7.0172,-5.6709,0.0395,0.8981,1.303,graded,0,2.8492,3.3988,2.797,12.0472,5.5713,6.2938
IA37,local,glm4-32b,1,0,0,1,mpfair,0.0,1,0,all,1038,1038,25.7298,17.417,6.7421,6.3849,7.1098,-3.8534,0.0809,0.8856,1.314,graded,0,3.9488,2.9971,2.5931,11.3521,6.3815,7.9961
IA25,local,gemma3-27b,1,0,0,1,mpstrict,0.0,1,0,all,1038,1038,24.6835,9.3868,6.7744,6.4263,7.1244,-4.8997,0.0067,0.8903,1.32,graded,0,3.0533,2.9221,2.9303,11.9706,6.3449,6.368
IA19,local,gemma3-12b,1,0,0,1,strict,0.0,1,0,all,1038,1038,29.6734,8.9578,6.7886,6.4885,7.0971,0.0902,0.0048,0.8401,1.323,graded,0,3.706,2.1046,2.8113,12.9928,7.9639,8.7168
IA39,local,glm4-32b,1,0,0,1,mpnharsh,0.0,1,0,all,1038,1038,35.4027,14.6583,6.8324,6.5192,7.1506,5.8195,0.0289,0.9061,1.331,graded,0,4.4466,1.7911,3.0291,15.935,8.4229,11.0448
IA01-Q7-n,local,qwen25-coder-7b,1,0,0,1,neutral,0.0,1,0,all,1038,1038,33.3512,12.1426,6.8775,6.5636,7.1975,3.7679,0.0318,0.8429,1.34,graded,0,3.9506,2.1199,3.0012,14.6108,9.8189,8.9215
IG04,gemini,flash-lite,1,0,0,0,neutral,0.0,1,0,all,1016,1016,34.6646,11.3806,6.8828,6.5738,7.1977,5.2678,0.001,0.8885,1.341,graded,22,4.0476,2.0393,2.6212,15.2589,9.7692,9.6366
IA66,local,qwen25-coder-32b,1,0,0,1,lenient,0.0,1,0,all,1038,1038,35.1455,11.9392,6.9573,6.6552,7.2643,5.5623,0.0077,0.8946,1.356,graded,0,4.7667,1.395,2.3649,16.3223,8.8699,9.9533
IG20,gemini,3-flash-preview,1,0,0,1,lenient,0.0,1,0,1-100,100,100,22.23,15.5268,6.9942,5.757,8.428,6.5958,0.04,0.8857,1.363,graded,938,3.997,1.5532,1.5015,11.1175,5.91,5.2025
IA132,local,qwen3-coder-480b,1,0,0,1,exacting,0.0,1,0,all,1038,1038,34.6209,11.3635,7.0251,6.6858,7.3678,5.0377,0.0029,0.858,1.369,graded,0,3.7438,1.7827,3.3902,14.6753,9.1657,10.7799
IA36,local,glm4-32b,1,0,0,1,mprigorous,0.0,1,0,all,1038,1038,24.8391,17.254,7.1095,6.7355,7.4954,-4.7441,0.079,0.8814,1.385,graded,0,3.9366,3.0479,2.7685,11.2052,6.2177,7.4162
IA35,local,glm4-32b,1,0,0,1,mpstrict,0.0,1,0,all,1038,1038,24.8184,17.5108,7.2893,6.9167,7.6696,-4.7648,0.0915,0.8827,1.42,graded,0,4.1042,2.8954,2.7688,10.9716,6.4335,7.4133
IA24,local,gemma3-27b,1,0,0,0,strict,0.0,1,0,all,1038,1038,23.6985,9.3076,7.3488,6.9768,7.7245,-5.8847,0.0019,0.8815,1.432,graded,0,3.0088,3.2017,3.0701,11.4099,6.132,6.1566
IA02-Q7-s,local,qwen25-coder-7b,1,0,0,1,strict,0.0,1,0,all,1038,1038,23.9109,11.6975,7.4545,7.114,7.7983,-5.6723,0.0742,0.8569,1.453,graded,0,3.6023,1.8755,4.0508,10.2124,8.3748,5.3237
IA41,local,glm4-32b,1,0,0,1,rigorous,0.0,1,0,all,1038,1038,36.2264,14.8424,7.47,7.1478,7.7968,6.6432,0.0289,0.9065,1.456,graded,0,4.8668,1.6659,2.9589,16.475,8.7726,10.9788
IA94,local,qwen25-coder-7b,0,0,0,1,neutral,0.0,1,0,all,1038,1038,35.158,12.9171,7.5134,7.1572,7.8756,5.5748,0.0347,0.8441,1.464,graded,0,4.4046,2.3974,2.9916,15.6618,10.0906,9.4056
IA33,local,glm4-32b,1,0,0,0,neutral,0.0,1,0,all,1038,1038,36.3348,14.5117,7.5146,7.1929,7.8402,6.7516,0.0231,0.907,1.464,graded,0,4.6708,1.6901,3.2628,16.2433,8.6522,11.4393
IG01,gemini,flash-lite,1,0,0,1,neutral,0.0,1,0,all,1013,1013,35.5659,10.944,7.5268,7.1963,7.8651,5.9792,0.001,0.8781,1.467,graded,25,4.5578,2.1412,2.8643,16.0296,9.6404,9.8959
IA77,local,qwen25-coder-7b,1,0,0,0,neutral,0.0,1,0,all,1038,1038,34.5024,11.5281,7.5461,7.2041,7.8945,4.9192,0.027,0.83,1.47,graded,0,4.2557,2.0598,3.181,15.1908,9.8748,9.4369
IA02-GE27-s,local,gemma3-27b,1,0,0,1,strict,0.0,1,0,all,1038,1038,23.3304,9.0111,7.6113,7.2291,7.991,-6.2528,0.0058,0.8874,1.483,graded,0,3.1453,3.2039,3.2021,11.3661,6.026,5.9383
IG12,gemini,flash-lite,1,0,0,1,neutral,0.7,5,0,all,963,963,36.498,10.0094,7.6264,7.2878,7.9752,5.8522,0.001,0.8748,1.486,graded,0,4.4287,2.1558,3.1012,16.012,9.9898,10.4962
IA135,local,qwen3-coder-next,1,0,0,1,lenient,0.0,1,0,all,1021,1021,36.7453,12.9833,7.6373,7.3175,7.9624,7.0955,0.0078,0.9101,1.488,graded,17,5.3767,1.448,2.6468,17.2527,8.7708,10.7218
